artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Silento,Watch Me Part 2,['pinoy hip hop'],0.758,0.643,5,-7.184,0,0.0751,0.119,4.96e-05,0.294,0.717,157.943,audio_features,1HVM6xJTywomciawwj4At4,spotify:track:1HVM6xJTywomciawwj4At4,https://api.spotify.com/v1/tracks/1HVM6xJTywomciawwj4At4,https://api.spotify.com/v1/audio-analysis/1HVM6xJTywomciawwj4At4,212929,4,Silento|Watch Me
Major Lazer,Lean On,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,0CYdYS5MP33toMaug9kBcy,spotify:track:0CYdYS5MP33toMaug9kBcy,https://api.spotify.com/v1/tracks/0CYdYS5MP33toMaug9kBcy,https://api.spotify.com/v1/audio-analysis/0CYdYS5MP33toMaug9kBcy,176561,4,Major Lazer & DJ Snake Featuring MO|Lean On
The Weeknd,The Hills,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",0.58,0.565,0,-7.065,0,0.0488,0.0671,0.0,0.135,0.138,112.986,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4,The Weeknd|The Hills
Taylor Swift,Bad Blood,"['dance pop', 'pop', 'post-teen pop']",0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,audio_features,273dCMFseLcVsoSWx59IoE,spotify:track:273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/tracks/273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/audio-analysis/273dCMFseLcVsoSWx59IoE,211933,4,Taylor Swift Featuring Kendrick Lamar|Bad Blood
Fetty Wap,Trap Queen,"['hip hop', 'new jersey rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4,Fetty Wap|Trap Queen
WALK THE MOON,Shut Up and Dance - Live,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop', 'pop rock']",0.41,0.956,1,-1.883,1,0.0782,0.00097,0.0,0.902,0.435,128.114,audio_features,7dnjPuuoFBGxos5MHBDfue,spotify:track:7dnjPuuoFBGxos5MHBDfue,https://api.spotify.com/v1/tracks/7dnjPuuoFBGxos5MHBDfue,https://api.spotify.com/v1/audio-analysis/7dnjPuuoFBGxos5MHBDfue,220720,4,WALK THE MOON|Shut Up And Dance
Jason Derulo,Want to Want Me,"['dance pop', 'pinoy hip hop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,audio_features,6zKrj4SomgfbvsfuTAuElE,spotify:track:6zKrj4SomgfbvsfuTAuElE,https://api.spotify.com/v1/tracks/6zKrj4SomgfbvsfuTAuElE,https://api.spotify.com/v1/audio-analysis/6zKrj4SomgfbvsfuTAuElE,207719,4,Jason Derulo|Want To Want Me
The Weeknd,Earned It (Fifty Shades Of Grey),"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",0.647,0.291,2,-8.275,0,0.0363,0.408,0.0,0.0771,0.4,119.839,audio_features,4frLb7nWtsz2ymBE6k2GRP,spotify:track:4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/tracks/4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/audio-analysis/4frLb7nWtsz2ymBE6k2GRP,277680,3,The Weeknd|Earned It (Fifty Shades Of Grey)
MAGIC!,Rude,"['pop', 'reggae fusion']",0.774,0.756,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.931,144.032,audio_features,6RtPijgfPKROxEzTHNRiDp,spotify:track:6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840,4,MAGIC!|Rude
Sam Smith,Stay With Me,"['pop', 'post-teen pop']",0.56,0.429,0,-6.267,1,0.0377,0.52,7.06e-05,0.105,0.161,85.036,audio_features,31CHJzSweI6r1dk6XrZceK,spotify:track:31CHJzSweI6r1dk6XrZceK,https://api.spotify.com/v1/tracks/31CHJzSweI6r1dk6XrZceK,https://api.spotify.com/v1/audio-analysis/31CHJzSweI6r1dk6XrZceK,172724,4,Sam Smith|Stay With Me
