artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Morris Day,Fishnet - Live,"['funk', 'minneapolis sound', 'quiet storm']",0.616,0.896,1,-3.07,1,0.2,0.00214,0.000836,0.175,0.526,119.816,audio_features,6NbCwqi9V4062135yLZPw3,spotify:track:6NbCwqi9V4062135yLZPw3,https://api.spotify.com/v1/tracks/6NbCwqi9V4062135yLZPw3,https://api.spotify.com/v1/audio-analysis/6NbCwqi9V4062135yLZPw3,164907,4,Morris Day|Fishnet
Cher,I Found Someone,"['dance pop', 'hollywood', 'new wave pop', 'pop']",0.52,0.759,5,-5.498,1,0.0278,0.323,1.61e-05,0.326,0.408,102.882,audio_features,4zeZ3rs7W6e4JMD094NGrZ,spotify:track:4zeZ3rs7W6e4JMD094NGrZ,https://api.spotify.com/v1/tracks/4zeZ3rs7W6e4JMD094NGrZ,https://api.spotify.com/v1/audio-analysis/4zeZ3rs7W6e4JMD094NGrZ,221707,4,Cher|I Found Someone
Rick Springfield,Rock Of Life,"['album rock', 'australian rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",0.512,0.945,11,-3.128,0,0.0717,0.000953,8.53e-06,0.96,0.559,77.281,audio_features,7GftiLPhx9SzEZQG38V8cl,spotify:track:7GftiLPhx9SzEZQG38V8cl,https://api.spotify.com/v1/tracks/7GftiLPhx9SzEZQG38V8cl,https://api.spotify.com/v1/audio-analysis/7GftiLPhx9SzEZQG38V8cl,265667,4,Rick Springfield|Rock Of Life
John Mellencamp,Check It Out - Live,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",0.524,0.73,0,-7.98,1,0.0419,0.00288,1.38e-06,0.747,0.505,109.017,audio_features,4ZlkQIeeybLR4SvB2WxIDC,spotify:track:4ZlkQIeeybLR4SvB2WxIDC,https://api.spotify.com/v1/tracks/4ZlkQIeeybLR4SvB2WxIDC,https://api.spotify.com/v1/audio-analysis/4ZlkQIeeybLR4SvB2WxIDC,318347,4,John Mellencamp|Check It Out
Michael Bolton,(Sittin' On) The Dock of the Bay,"['adult standards', 'soft rock']",0.464,0.525,2,-13.806,1,0.0566,0.192,7.23e-06,0.268,0.565,178.352,audio_features,0tvKT0EdO4Gm1nw7rgiHHa,spotify:track:0tvKT0EdO4Gm1nw7rgiHHa,https://api.spotify.com/v1/tracks/0tvKT0EdO4Gm1nw7rgiHHa,https://api.spotify.com/v1/audio-analysis/0tvKT0EdO4Gm1nw7rgiHHa,231240,4,Michael Bolton|(Sittin' On) The Dock Of The Bay
George Michael,Father Figure - Live,"['dance pop', 'dance rock', 'europop', 'new wave pop', 'soft rock']",0.603,0.436,10,-14.096,0,0.0294,0.0764,0.0,0.77,0.214,98.011,audio_features,0BEtL2dM2M0r407t1pSQyV,spotify:track:0BEtL2dM2M0r407t1pSQyV,https://api.spotify.com/v1/tracks/0BEtL2dM2M0r407t1pSQyV,https://api.spotify.com/v1/audio-analysis/0BEtL2dM2M0r407t1pSQyV,379269,4,George Michael|Father Figure
Def Leppard,Hysteria - Remastered 2017,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",0.649,0.811,7,-7.127,1,0.0269,0.00391,0.00906,0.246,0.676,106.997,audio_features,772K2oHttS2C7zTCfL9mHC,spotify:track:772K2oHttS2C7zTCfL9mHC,https://api.spotify.com/v1/tracks/772K2oHttS2C7zTCfL9mHC,https://api.spotify.com/v1/audio-analysis/772K2oHttS2C7zTCfL9mHC,355400,4,Def Leppard|Hysteria
Honeymoon Suite,Love Changes Everything,"['album rock', 'canadian metal', 'classic canadian rock', 'glam metal', 'hard rock', 'mellow gold']",0.644,0.76,2,-6.876,0,0.0313,0.0155,1.03e-05,0.0874,0.71,131.594,audio_features,4DAHDSsSl1mgI99dsYRfT5,spotify:track:4DAHDSsSl1mgI99dsYRfT5,https://api.spotify.com/v1/tracks/4DAHDSsSl1mgI99dsYRfT5,https://api.spotify.com/v1/audio-analysis/4DAHDSsSl1mgI99dsYRfT5,262580,4,Honeymoon Suite|Love Changes Everything
Kingdom Come,Get It On,"['album rock', 'german hard rock', 'glam metal', 'hard rock', 'metal']",0.469,0.772,9,-9.139,1,0.0605,0.000765,0.000331,0.082,0.491,144.988,audio_features,2A56RpqzePn8ltxSitvAUV,spotify:track:2A56RpqzePn8ltxSitvAUV,https://api.spotify.com/v1/tracks/2A56RpqzePn8ltxSitvAUV,https://api.spotify.com/v1/audio-analysis/2A56RpqzePn8ltxSitvAUV,273933,4,Kingdom Come|Get It On
Sting,Englishman In New York - Symphonicities Version,"['permanent wave', 'soft rock']",0.715,0.328,11,-11.668,0,0.0674,0.436,3.47e-05,0.117,0.387,101.882,audio_features,2CHlIaZobo4UWWoGOPWKvm,spotify:track:2CHlIaZobo4UWWoGOPWKvm,https://api.spotify.com/v1/tracks/2CHlIaZobo4UWWoGOPWKvm,https://api.spotify.com/v1/audio-analysis/2CHlIaZobo4UWWoGOPWKvm,263067,4,Sting|Englishman In New York
Salt-N-Pepa,Push It,"['dance pop', 'girl group', 'hip hop', 'hip pop', 'old school hip hop', 'rap']",0.918,0.731,7,-6.637,1,0.0611,0.00354,0.00431,0.0488,0.967,127.239,audio_features,7JJL99zRYDgAQzlOeWlUeE,spotify:track:7JJL99zRYDgAQzlOeWlUeE,https://api.spotify.com/v1/tracks/7JJL99zRYDgAQzlOeWlUeE,https://api.spotify.com/v1/audio-analysis/7JJL99zRYDgAQzlOeWlUeE,268533,4,Salt-N-Pepa|Push It
Belinda Carlisle,I Get Weak,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'soft rock']",0.579,0.727,10,-10.063,1,0.0289,0.306,0.0,0.1,0.382,103.371,audio_features,2B1ylFlO2nBGJdPNb9vMnn,spotify:track:2B1ylFlO2nBGJdPNb9vMnn,https://api.spotify.com/v1/tracks/2B1ylFlO2nBGJdPNb9vMnn,https://api.spotify.com/v1/audio-analysis/2B1ylFlO2nBGJdPNb9vMnn,292293,4,Belinda Carlisle|I Get Weak
David Lee Roth,Just Like Paradise,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'neo classical metal', 'rock']",0.611,0.853,2,-4.983,1,0.034,0.0219,0.0,0.671,0.376,135.558,audio_features,5ZY7Gug850kv4heJcWZGHM,spotify:track:5ZY7Gug850kv4heJcWZGHM,https://api.spotify.com/v1/tracks/5ZY7Gug850kv4heJcWZGHM,https://api.spotify.com/v1/audio-analysis/5ZY7Gug850kv4heJcWZGHM,243280,4,David Lee Roth|Just Like Paradise
